sample_idx,layer,original_word,scrambled_word,cos_sim
1,0,significant,significant,1.0000007
1,1,significant,significant,1.0
1,2,significant,significant,0.9999999
1,3,significant,significant,0.99999964
1,4,significant,significant,0.9999998
1,5,significant,significant,0.9999998
1,6,significant,significant,1.0000001
1,7,significant,significant,0.9999997
1,8,significant,significant,0.99999994
1,9,significant,significant,0.99999976
1,10,significant,significant,0.99999994
1,11,significant,significant,1.0
1,12,significant,significant,1.0
1,13,significant,significant,1.0000002
1,14,significant,significant,1.0
1,15,significant,significant,1.0000001
1,16,significant,significant,0.9999999
4,0,Christopher,Christopher,1.0000007
4,1,Christopher,Christopher,0.99999994
4,2,Christopher,Christopher,1.0000001
4,3,Christopher,Christopher,0.9999998
4,4,Christopher,Christopher,1.0000002
4,5,Christopher,Christopher,1.0
4,6,Christopher,Christopher,0.99999976
4,7,Christopher,Christopher,1.0
4,8,Christopher,Christopher,1.0000002
4,9,Christopher,Christopher,1.0000001
4,10,Christopher,Christopher,0.99999994
4,11,Christopher,Christopher,1.0000002
4,12,Christopher,Christopher,0.9999998
4,13,Christopher,Christopher,1.0000002
4,14,Christopher,Christopher,0.9999998
4,15,Christopher,Christopher,0.99999994
4,16,Christopher,Christopher,1.0
7,0,Destination,Destination,1.0000007
7,1,Destination,Destination,0.9999997
7,2,Destination,Destination,1.0
7,3,Destination,Destination,1.0000001
7,4,Destination,Destination,1.0000001
7,5,Destination,Destination,1.0
7,6,Destination,Destination,0.9999999
7,7,Destination,Destination,1.0000001
7,8,Destination,Destination,1.0
7,9,Destination,Destination,0.9999999
7,10,Destination,Destination,0.9999997
7,11,Destination,Destination,1.0
7,12,Destination,Destination,0.99999964
7,13,Destination,Destination,0.9999998
7,14,Destination,Destination,0.9999999
7,15,Destination,Destination,0.9999998
7,16,Destination,Destination,1.0000002
8,0,compression,compression,1.0000002
8,1,compression,compression,1.0
8,2,compression,compression,1.0
8,3,compression,compression,0.99999994
8,4,compression,compression,0.99999994
8,5,compression,compression,1.0000001
8,6,compression,compression,1.0000002
8,7,compression,compression,0.9999999
8,8,compression,compression,1.0
8,9,compression,compression,0.9999999
8,10,compression,compression,1.0
8,11,compression,compression,1.0
8,12,compression,compression,1.0000002
8,13,compression,compression,0.9999999
8,14,compression,compression,0.99999994
8,15,compression,compression,0.9999999
8,16,compression,compression,1.0
9,0,represented,represented,1.0000005
9,1,represented,represented,1.0
9,2,represented,represented,1.0
9,3,represented,represented,1.0000004
9,4,represented,represented,1.0000002
9,5,represented,represented,0.9999999
9,6,represented,represented,0.9999996
9,7,represented,represented,1.0000004
9,8,represented,represented,1.0000001
9,9,represented,represented,1.0
9,10,represented,represented,1.0
9,11,represented,represented,1.0000001
9,12,represented,represented,1.0
9,13,represented,represented,1.0
9,14,represented,represented,0.9999997
9,15,represented,represented,1.0000004
9,16,represented,represented,1.0
10,0,International,International,1.0000005
10,1,International,International,1.0
10,2,International,International,0.99999976
10,3,International,International,1.0000001
10,4,International,International,0.99999994
10,5,International,International,1.0000005
10,6,International,International,0.9999998
10,7,International,International,0.99999976
10,8,International,International,0.99999976
10,9,International,International,1.0000001
10,10,International,International,0.9999999
10,11,International,International,0.9999999
10,12,International,International,1.0000002
10,13,International,International,0.9999998
10,14,International,International,0.99999976
10,15,International,International,0.99999994
10,16,International,International,0.99999964
11,0,construction,construction,1.0000006
11,1,construction,construction,0.9999999
11,2,construction,construction,0.9999999
11,3,construction,construction,1.0
11,4,construction,construction,1.0000002
11,5,construction,construction,0.99999994
11,6,construction,construction,0.9999998
11,7,construction,construction,1.0
11,8,construction,construction,1.0000004
11,9,construction,construction,0.99999994
11,10,construction,construction,1.0
11,11,construction,construction,1.0
11,12,construction,construction,1.0000001
11,13,construction,construction,0.99999976
11,14,construction,construction,1.0000001
11,15,construction,construction,1.0000001
11,16,construction,construction,1.0
12,0,Introduction,Introduction,1.0000005
12,1,Introduction,Introduction,1.0
12,2,Introduction,Introduction,1.0
12,3,Introduction,Introduction,1.0000004
12,4,Introduction,Introduction,0.9999998
12,5,Introduction,Introduction,1.0000001
12,6,Introduction,Introduction,1.0
12,7,Introduction,Introduction,0.9999999
12,8,Introduction,Introduction,1.0
12,9,Introduction,Introduction,1.0
12,10,Introduction,Introduction,1.0
12,11,Introduction,Introduction,1.0000002
12,12,Introduction,Introduction,1.0000002
12,13,Introduction,Introduction,0.9999998
12,14,Introduction,Introduction,1.0000004
12,15,Introduction,Introduction,1.0
12,16,Introduction,Introduction,1.0000004
14,0,development,development,1.0000006
14,1,development,development,1.0
14,2,development,development,0.9999999
14,3,development,development,0.99999964
14,4,development,development,0.9999998
14,5,development,development,1.0
14,6,development,development,1.0000002
14,7,development,development,1.0
14,8,development,development,1.0000004
14,9,development,development,0.99999976
14,10,development,development,1.0000004
14,11,development,development,0.9999999
14,12,development,development,1.0000002
14,13,development,development,1.0
14,14,development,development,1.0
14,15,development,development,1.0000002
14,16,development,development,0.99999976
